id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed
0,./output\train\reference\00000.png,./output\train\search\00000.png,794.9,198.7,744.9,148.7,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
1,./output\train\reference\00001.png,./output\train\search\00001.png,827.0,616.3,777.0,566.3,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
2,./output\train\reference\00002.png,./output\train\search\00002.png,262.0,714.3,212.0,664.3,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
3,./output\train\reference\00003.png,./output\train\search\00003.png,835.4,137.7,785.4,87.7,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
4,./output\train\reference\00004.png,./output\train\search\00004.png,677.2,511.8,627.2,461.8,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
5,./output\train\reference\00005.png,./output\train\search\00005.png,298.8,139.9,248.8,89.9,100,100,dram_legacy,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
6,./output\train\reference\00006.png,./output\train\search\00006.png,177.8,571.7,127.8,521.7,100,100,finfet_7nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
7,./output\train\reference\00007.png,./output\train\search\00007.png,181.6,946.2,131.6,896.2,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
8,./output\train\reference\00008.png,./output\train\search\00008.png,428.7,882.2,378.7,832.2,100,100,dram_loose,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
9,./output\train\reference\00009.png,./output\train\search\00009.png,874.9,597.8,824.9,547.8,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
10,./output\train\reference\00010.png,./output\train\search\00010.png,491.1,776.1,441.1,726.1,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
11,./output\train\reference\00011.png,./output\train\search\00011.png,846.8,359.4,796.8,309.4,100,100,dram_wide,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
12,./output\train\reference\00012.png,./output\train\search\00012.png,928.9,666.5,878.9,616.5,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
13,./output\train\reference\00013.png,./output\train\search\00013.png,947.9,858.7,897.9,808.7,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
14,./output\train\reference\00014.png,./output\train\search\00014.png,268.1,743.7,218.1,693.7,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
15,./output\train\reference\00015.png,./output\train\search\00015.png,722.9,262.9,672.9,212.9,100,100,finfet_10nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
16,./output\train\reference\00016.png,./output\train\search\00016.png,559.9,690.9,509.9,640.9,100,100,finfet_45nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
17,./output\train\reference\00017.png,./output\train\search\00017.png,360.1,58.3,310.1,8.3,100,100,finfet_22nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
18,./output\train\reference\00018.png,./output\train\search\00018.png,121.2,883.6,71.2,833.6,100,100,dram_compact,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
19,./output\train\reference\00019.png,./output\train\search\00019.png,564.2,154.5,514.2,104.5,100,100,finfet_14nm,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,42
